start,today,تاريخ النشاط,المحافظة,طبيعة الوصول,المنطقة الإدارية,المنطقة الفرعية,اسم القرية,هل يوجد دفتر عائلة,طبيعة العائلة,تاريخ طبيعة العائلة,بلد العودة,طبيعة السكن,عدد الأفراد في دفتر العائلة,عدد أفراد العائلة الفعلي,عدد الأفراد المعالين,عدد الأفراد المعيلين,هل عنوان السكن هو نفس منطقة التدخل؟,العنوان الحالي - المحافظة,العنوان الحالي - المنطقة,عنوان العائلة الأصلي (إذا كانت نازحة من قريبة أخرى).1,_id,_submission_time,_validation_status,_status,_index
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,تالين,أسقبلة,اسقبلة,نعم,مجتمع مضيف,,,أجار,5,4,3,1,نعم,,,,464212641,2025-04-16,,submitted_via_web,78
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-04-01,,أستضافة,3,3,3,1,لا,طرطوس,ريف بانياس,,464212817,2025-04-16,,submitted_via_web,79
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أستضافة,3,3,3,0,نعم,,,,464212846,2025-04-16,,submitted_via_web,80
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,أجار,13,10,9,1,نعم,,,,464214097,2025-04-16,,submitted_via_web,81
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2025-03-01,,ملك,6,6,6,0,نعم,,,,464214760,2025-04-16,,submitted_via_web,82
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أستضافة,4,4,3,1,نعم,,,,464215057,2025-04-16,,submitted_via_web,83
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أستضافة,5,7,6,1,نعم,,,,464216533,2025-04-16,,submitted_via_web,84
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,6,6,5,1,نعم,,,,464216652,2025-04-16,,submitted_via_web,85
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2025-04-01,,أستضافة,4,4,2,1,نعم,,,,464217640,2025-04-16,,submitted_via_web,86
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أستضافة,5,3,2,1,نعم,,,,464217682,2025-04-16,,submitted_via_web,87
